probes,genes,,,,,,,,,,,,,,,,,,,
7552_at,ZNF711,,,,,,,,,,,,,,,,,,,
109729181_at,ZNF710-AS1,,,,,,,,,,,,,,,,,,,
374655_at,ZNF710,,,,,,,,,,,,,,,,,,,
58491_at,ZNF71,,,,,,,,,,,,,,,,,,,
163051_at,ZNF709,,,,,,,,,,,,,,,,,,,
7562_at,ZNF708,,,,,,,,,,,,,,,,,,,
286075_at,ZNF707,,,,,,,,,,,,,,,,,,,
51123_at,ZNF706,,,,,,,,,,,,,,,,,,,
100131980_at,ZNF705G,,,,,,,,,,,,,,,,,,,
100131539_at,ZNF705E,,,,,,,,,,,,,,,,,,,
728957_at,ZNF705D,,,,,,,,,,,,,,,,,,,
389631_at,ZNF705CP,,,,,,,,,,,,,,,,,,,
100132396_at,ZNF705B,,,,,,,,,,,,,,,,,,,
440077_at,ZNF705A,,,,,,,,,,,,,,,,,,,
619279_at,ZNF704,,,,,,,,,,,,,,,,,,,
80139_at,ZNF703,,,,,,,,,,,,,,,,,,,
79986_at,ZNF702P,,,,,,,,,,,,,,,,,,,
55762_at,ZNF701,,,,,,,,,,,,,,,,,,,
90592_at,ZNF700,,,,,,,,,,,,,,,,,,,
7621_at,ZNF70,,,,,,,,,,,,,,,,,,,
7553_at,ZNF7,,,,,,,,,,,,,,,,,,,
374879_at,ZNF699,,,,,,,,,,,,,,,,,,,
90874_at,ZNF697,,,,,,,,,,,,,,,,,,,
79943_at,ZNF696,,,,,,,,,,,,,,,,,,,
57116_at,ZNF695,,,,,,,,,,,,,,,,,,,
55657_at,ZNF692,,,,,,,,,,,,,,,,,,,
51058_at,ZNF691,,,,,,,,,,,,,,,,,,,
7620_at,ZNF69,,,,,,,,,,,,,,,,,,,
115509_at,ZNF689,,,,,,,,,,,,,,,,,,,
146542_at,ZNF688,,,,,,,,,,,,,,,,,,,
57592_at,ZNF687,,,,,,,,,,,,,,,,,,,
